time,precip_mm,snow_depth_cm,min_temp
2017-05-01,42.6,,3.5
2017-05-08,45.199999999999996,,2.0
2017-05-15,2.4,,2.2
2017-05-22,14.600000000000001,,7.4
2017-05-29,51.00000000000001,,9.2
2017-06-05,16.8,,8.7
2017-06-12,3.2,,8.3
2017-06-19,18.2,,15.1
2017-06-26,48.2,,11.5
2017-07-03,23.2,,11.2
2017-07-10,0.2,,13.8
2017-07-17,3.4000000000000004,,15.8
2017-07-24,21.799999999999997,,15.8
2017-07-31,10.0,,14.8
2017-08-07,44.2,,11.8
2017-08-14,2.6,,13.4
2017-08-21,16.0,,15.6
2017-08-28,8.0,,10.3
2017-09-04,21.4,,7.3
2017-09-11,8.8,,7.7
2017-09-18,0.0,,9.8
2017-09-25,0.0,,15.8
2017-10-02,3.6,,4.1
2017-10-09,22.200000000000003,,7.9
2017-10-16,19.8,,2.8
2017-10-23,9.2,,2.5
2017-10-30,6.4,,1.7
2017-11-06,31.200000000000003,,0.7
2017-11-13,2.2,,-10.1
2017-11-20,24.0,0.0,-2.8
2017-11-27,1.0,,-3.2
2017-12-04,5.4,,-3.5
2017-12-11,7.0,0.0,-7.2
2017-12-18,8.0,1.0,-15.8
2017-12-25,18.2,1.7,-12.1
2018-01-01,3.4,1.6,-22.6
2018-01-08,5.6,1.1,-23.5
2018-01-15,27.599999999999998,0.7,-17.3
2018-01-22,17.2,0.7,-14.4
2018-01-29,10.2,0.0,-11.2
2018-02-05,8.0,0.5,-15.7
2018-02-12,21.8,1.9,-13.2
2018-02-19,13.4,1.6,-14.1
2018-02-26,23.4,0.0,-3.2
2018-03-05,1.2000000000000002,0.1,-6.3
2018-03-12,3.4,0.0,-4.6
2018-03-19,1.4,0.5,-7.6
2018-03-26,0.0,,-8.0
2018-04-02,26.599999999999998,,-3.7
2018-04-09,27.400000000000002,0.1,-6.1
2018-04-16,94.2,0.4,-4.4
2018-04-23,0.2,0.2,-2.3
2018-04-30,28.8,,0.0
2018-05-07,18.0,,8.1
2018-05-14,2.2,,5.0
2018-05-21,26.6,,7.4
2018-05-28,8.6,,10.2
2018-06-04,18.4,,13.5
2018-06-11,0.2,,10.2
2018-06-18,5.800000000000001,,10.7
2018-06-25,27.799999999999997,,12.8
2018-07-02,7.8,,11.1
2018-07-09,23.8,,13.8
2018-07-16,8.2,,16.8
2018-07-23,16.4,,14.1
2018-07-30,15.6,,13.4
2018-08-06,23.200000000000003,,18.1
2018-08-13,33.6,,15.4
2018-08-20,16.4,,17.1
2018-08-27,45.0,,14.6
2018-09-03,0.4,,15.0
2018-09-10,27.2,,10.8
2018-09-17,0.0,,12.7
2018-09-24,2.6,,6.4
2018-10-01,29.6,,7.6
2018-10-08,26.4,,5.2
2018-10-15,3.2,,2.0
2018-10-22,0.4,0.0,-1.4
2018-10-29,13.2,0.0,-1.0
2018-11-05,54.800000000000004,,-1.5
2018-11-12,20.8,,-3.0
2018-11-19,17.0,1.0,-5.8
2018-11-26,28.599999999999998,0.0,-13.3
2018-12-03,10.0,0.1,-1.9
2018-12-10,0.2,0.0,-9.2
2018-12-17,4.4,0.2,-3.4
2018-12-24,16.2,0.0,-6.2
2018-12-31,22.0,0.2,-7.4
2019-01-07,7.2,0.3,-9.3
2019-01-14,3.8,0.0,-13.8
2019-01-21,9.6,0.8,-21.8
2019-01-28,42.0,0.8,-19.7
2019-02-04,7.8,3.8,-22.8
2019-02-11,19.0,0.2,-10.0
2019-02-18,27.599999999999998,1.2,-14.4
2019-02-25,9.0,0.9,-15.8
2019-03-04,22.400000000000002,2.1,-17.3
2019-03-11,13.0,1.3,-15.3
2019-03-18,9.4,0.0,-6.9
2019-03-25,1.8,0.1,-6.9
2019-04-01,34.8,0.3,-5.5
2019-04-08,4.4,0.0,-2.0
2019-04-15,31.6,0.0,-0.9
2019-04-22,34.400000000000006,,-1.8
2019-04-29,21.8,,-0.6
2019-05-06,31.2,,3.0
2019-05-13,29.2,,1.1
2019-05-20,3.2,,5.1
2019-05-27,30.0,,4.7
2019-06-03,9.2,,6.3
2019-06-10,26.0,,6.4
2019-06-17,23.400000000000002,,10.0
2019-06-24,42.0,,12.9
2019-07-01,13.2,,14.3
2019-07-08,2.2,,15.0
2019-07-15,8.2,,15.3
2019-07-22,80.6,,17.5
2019-07-29,2.0,,15.3
2019-08-05,11.2,,15.6
2019-08-12,8.8,,14.1
2019-08-19,23.8,,15.3
2019-08-26,2.8000000000000003,,12.2
2019-09-02,10.6,,12.5
2019-09-09,8.4,,8.6
2019-09-16,30.2,,11.7
2019-09-23,0.2,,10.9
2019-09-30,6.2,,8.9
2019-10-07,26.8,,4.4
2019-10-14,4.2,,4.3
2019-10-21,19.599999999999998,,1.3
2019-10-28,46.2,,1.2
2019-11-04,40.800000000000004,,0.6
2019-11-11,17.0,0.1,-6.8
2019-11-18,11.6,1.4,-13.9
2019-11-25,4.4,0.1,-3.2
2019-12-02,24.0,1.1,-7.2
2019-12-09,12.4,1.2,-9.6
2019-12-16,20.8,0.1,-9.7
2019-12-23,2.4000000000000004,0.4,-16.7
2019-12-30,16.0,,-3.9
2020-01-06,7.2,0.4,-5.2
2020-01-13,81.0,0.2,-11.7
2020-01-20,16.2,1.6,-15.6
2020-01-27,28.200000000000003,1.2,-8.7
2020-02-03,6.4,0.2,-8.3
2020-02-10,17.400000000000002,1.1,-14.9
2020-02-17,4.6000000000000005,0.7,-20.6
2020-02-24,6.8,0.5,-11.4
2020-03-02,17.8,1.3,-14.0
2020-03-09,11.0,0.0,-7.2
2020-03-16,7.4,0.0,-5.3
2020-03-23,15.399999999999999,0.2,-8.4
2020-03-30,19.6,,0.7
2020-04-06,0.4,,-0.4
2020-04-13,30.200000000000003,,-2.1
2020-04-20,0.4,0.0,-4.8
2020-04-27,3.0,,-2.7
2020-05-04,9.0,,1.8
2020-05-11,8.4,0.0,-4.7
