,ds,y,national_index,week_of_year,is_holiday
163,2017-02-20,210,0.0,8,0
164,2017-02-27,209,0.0,9,0
165,2017-03-06,189,21016.0,10,0
166,2017-03-13,190,2227.0,11,0
167,2017-03-20,205,0.0,12,0
168,2017-03-27,176,0.0,13,0
169,2017-04-03,231,7974.0,14,0
170,2017-04-10,230,13839.0,15,1
171,2017-04-17,213,0.0,16,0
172,2017-04-24,233,0.0,17,0
173,2017-05-01,241,3828.0,18,0
174,2017-05-08,262,22598.0,19,0
175,2017-05-15,265,0.0,20,0
176,2017-05-22,200,0.0,21,0
177,2017-05-29,228,0.0,22,0
178,2017-06-05,259,21438.0,23,0
179,2017-06-12,227,6965.0,24,0
180,2017-06-19,248,0.0,25,0
181,2017-06-26,260,0.0,26,1
182,2017-07-03,249,12941.0,27,0
183,2017-07-10,220,18748.0,28,0
184,2017-07-17,230,0.0,29,0
185,2017-07-24,260,0.0,30,0
186,2017-07-31,202,0.0,31,0
187,2017-08-07,206,30928.0,32,0
188,2017-08-14,255,0.0,33,0
189,2017-08-21,238,0.0,34,0
190,2017-08-28,268,0.0,35,0
191,2017-09-04,221,15623.0,36,1
192,2017-09-11,267,14329.0,37,0
193,2017-09-18,235,0.0,38,0
194,2017-09-25,247,0.0,39,0
195,2017-10-02,307,9549.0,40,0
196,2017-10-09,249,20452.0,41,0
197,2017-10-16,237,0.0,42,0
198,2017-10-23,281,0.0,43,0
199,2017-10-30,211,0.0,44,0
200,2017-11-06,266,25705.0,45,0
201,2017-11-13,249,3266.0,46,0
202,2017-11-20,267,0.0,47,0
203,2017-11-27,251,0.0,48,0
204,2017-12-04,270,16705.0,49,0
205,2017-12-11,222,14458.0,50,0
206,2017-12-18,312,0.0,51,0
207,2017-12-25,219,0.0,52,1
208,2018-01-01,207,4346.0,1,1
209,2018-01-08,266,24148.0,2,0
210,2018-01-15,270,0.0,3,0
211,2018-01-22,244,0.0,4,0
212,2018-01-29,237,0.0,5,0
213,2018-02-05,206,19122.0,6,0
214,2018-02-12,255,6812.0,7,0
215,2018-02-19,181,0.0,8,0
216,2018-02-26,209,0.0,9,0
217,2018-03-05,195,16919.0,10,0
218,2018-03-12,152,5816.0,11,0
219,2018-03-19,168,0.0,12,0
220,2018-03-26,206,0.0,13,1
221,2018-04-02,200,5924.0,14,0
222,2018-04-09,176,15179.0,15,0
223,2018-04-16,172,0.0,16,0
224,2018-04-23,230,0.0,17,0
225,2018-04-30,159,0.0,18,0
226,2018-05-07,208,26114.0,19,0
227,2018-05-14,200,0.0,20,0
228,2018-05-21,209,0.0,21,0
229,2018-05-28,193,0.0,22,0
230,2018-06-04,244,15495.0,23,0
231,2018-06-11,190,13788.0,24,0
232,2018-06-18,242,0.0,25,0
233,2018-06-25,242,0.0,26,1
234,2018-07-02,202,9314.0,27,0
235,2018-07-09,237,21587.0,28,0
236,2018-07-16,198,0.0,29,0
237,2018-07-23,181,0.0,30,0
238,2018-07-30,232,0.0,31,0
239,2018-08-06,197,25991.0,32,0
240,2018-08-13,234,3371.0,33,0
241,2018-08-20,183,0.0,34,0
242,2018-08-27,208,0.0,35,0
243,2018-09-03,188,11016.0,36,1
244,2018-09-10,226,17474.0,37,0
245,2018-09-17,233,0.0,38,0
246,2018-09-24,215,0.0,39,0
247,2018-10-01,297,4349.0,40,0
248,2018-10-08,237,24852.0,41,0
249,2018-10-15,224,0.0,42,0
250,2018-10-22,173,0.0,43,0
251,2018-10-29,231,0.0,44,0
252,2018-11-05,291,23131.0,45,0
253,2018-11-12,195,6582.0,46,0
254,2018-11-19,211,0.0,47,0
255,2018-11-26,291,0.0,48,0
256,2018-12-03,246,10601.0,49,0
257,2018-12-10,212,16413.0,50,0
258,2018-12-17,194,0.0,51,0
259,2018-12-24,206,0.0,52,1
260,2018-12-31,141,0.0,1,1
261,2019-01-07,173,27529.0,2,0
262,2019-01-14,200,0.0,3,0
263,2019-01-21,238,0.0,4,0
264,2019-01-28,198,0.0,5,0
265,2019-02-04,236,14777.0,6,0
266,2019-02-11,169,10101.0,7,0
267,2019-02-18,152,0.0,8,0
268,2019-02-25,172,0.0,9,0
269,2019-03-04,239,10838.0,10,0
270,2019-03-11,164,10723.0,11,0
271,2019-03-18,145,0.0,12,0
272,2019-03-25,161,0.0,13,0
273,2019-04-01,206,3270.0,14,0
274,2019-04-08,172,16284.0,15,0
275,2019-04-15,178,0.0,16,1
276,2019-04-22,159,0.0,17,0
277,2019-04-29,197,0.0,18,0
278,2019-05-06,198,20373.0,19,0
279,2019-05-13,173,2919.0,20,0
280,2019-05-20,181,0.0,21,0
281,2019-05-27,200,0.0,22,0
282,2019-06-03,191,11410.0,23,0
283,2019-06-10,220,16084.0,24,0
284,2019-06-17,205,0.0,25,0
285,2019-06-24,234,0.0,26,0
286,2019-07-01,183,4294.0,27,1
287,2019-07-08,177,24551.0,28,0
288,2019-07-15,211,0.0,29,0
289,2019-07-22,215,0.0,30,0
290,2019-07-29,183,0.0,31,0
291,2019-08-05,186,21696.0,32,0
292,2019-08-12,184,7593.0,33,0
293,2019-08-19,173,0.0,34,0
294,2019-08-26,228,0.0,35,0
295,2019-09-02,176,7798.0,36,1
296,2019-09-09,217,18788.0,37,0
297,2019-09-16,193,0.0,38,0
298,2019-09-23,203,0.0,39,0
299,2019-09-30,200,0.0,40,0
300,2019-10-07,186,28028.0,41,0
301,2019-10-14,186,0.0,42,0
302,2019-10-21,185,0.0,43,0
303,2019-10-28,233,0.0,44,0
304,2019-11-04,177,14871.0,45,0
305,2019-11-11,174,12199.0,46,0
306,2019-11-18,165,0.0,47,0
307,2019-11-25,217,0.0,48,0
308,2019-12-02,147,7676.0,49,0
309,2019-12-09,171,19449.0,50,0
310,2019-12-16,198,0.0,51,0
311,2019-12-23,202,0.0,52,1
312,2019-12-30,116,0.0,1,1
313,2020-01-06,132,21684.0,2,0
314,2020-01-13,153,2815.0,3,0
315,2020-01-20,139,0.0,4,0
316,2020-01-27,163,0.0,5,0
317,2020-02-03,153,10413.0,6,0
318,2020-02-10,147,13170.0,7,0
319,2020-02-17,123,0.0,8,0
320,2020-02-24,112,0.0,9,0
321,2020-03-02,155,4324.0,10,0
